original_path,original_name,new_name,产品分类,产品系列,产品编码,核心规格,包装类型,日期,版本,渠道,状态,设计图号,客户,备注,file_hash,duplicate_group,thumbnail_path
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-125MM,6H-10PCS-20250722-V1.pdf","涂附-拉绒片-125MM,6H-10PCS-20250722-V1.pdf","涂附-拉绒片-125MM,6H-10PCS-20250722-V1.pdf",涂附,B15,B15,125_8H,彩盒,20250722,V1,商超,DONE,,,,fa71f7cd0242dcb8f7d5ad11c53a033e7015bb77129e109680ad5150b757e339,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B15-150MM,15H-10PCS-20250722-V1.pdf","涂附-拉绒片-B15-150MM,15H-10PCS-20250722-V1.pdf","涂附-拉绒片-B15-150MM,15H-10PCS-20250722-V1.pdf",涂附,B15,B15,150_15H,彩盒,20250722,V1,商超,DONE,,,混装,527a413e757f4c2b094661c285a5652b935ead96412286376524611b1a300a73,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B15-150MM,6H-10PCS-20250722-V1.pdf","涂附-拉绒片-B15-150MM,6H-10PCS-20250722-V1.pdf","涂附-拉绒片-B15-150MM,6H-10PCS-20250722-V1.pdf",涂附,B15,B15,150_6H,彩盒,20250722,V1,商超,DONE,,,混装,cb5637834472bb6e1937846c2a674c7893299969131fa2fd331d88a5d4c4474c,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B15-225MM,9H-10PCS-20250807-V1.pdf","涂附-拉绒片-B15-225MM,9H-10PCS-20250807-V1.pdf","涂附-拉绒片-B15-225MM,9H-10PCS-20250807-V1.pdf",涂附,B15,B15,225_9H,彩盒,20250807,V1,商超,DONE,,,,6076b87adf6ea3b6db8cbab977a63547ae7635a2d0fc2dbaf6e15f5de27c8900,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B15-225MM,9H-10PCS-20250722-V1.pdf","涂附-拉绒片-B15-225MM,9H-10PCS-20250722-V1.pdf","涂附-拉绒片-B15-225MM,9H-10PCS-20250722-V1.pdf",涂附,B15,B15,225_9H,彩盒,20250722,V1,商超,DONE,,,,f600d03b7da6a3f6f4dc87f0ab36ac7157d632ea9e7074148a7cd567f3ccaddf,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B15-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-B15-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-B15-225MM,9H-5PCS-20250722-V1.pdf",涂附,B15,B15,225_9H,彩盒,20250722,V1,商超,DONE,,,,775f2bd79ca9f2e14785445f32ca951ae7fa25f4eb038a84b31af8d2c2457784,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B38-125MM,8H-20PCS-20250722-V1.pdf","涂附-拉绒片-B38-125MM,8H-20PCS-20250722-V1.pdf","涂附-拉绒片-B38-125MM,8H-20PCS-20250722-V1.pdf",涂附,B38,B38,125_8H,彩盒,20250722,V1,商超,DONE,,,,bc0fa6b7ce1bb0a81c29df00065b75e372304d6da2f13a4c405359da72ad9c9d,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B38-125MM,8H-25PCS-20250722-V1.pdf","涂附-拉绒片-B38-125MM,8H-25PCS-20250722-V1.pdf","涂附-拉绒片-B38-125MM,8H-25PCS-20250722-V1.pdf",涂附,B38,B38,125_8H,彩盒,20250722,V1,商超,DONE,,,,24d8a30f7f52e13cf1ccc75fd29b5e7cc82889202dc3561a1e593d01c9719ec0,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B38-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-B38-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-B38-225MM,9H-5PCS-20250722-V1.pdf",涂附,B38,B38,225_9H,彩盒,20250722,V1,商超,DONE,,,,3ae21b320a26a13dabd78756d775c6a86b2e2aa4eb44094a18a58f5d61c07848,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B65-125MM,8H-20PCS-20250722-V1.pdf","涂附-拉绒片-B65-125MM,8H-20PCS-20250722-V1.pdf","涂附-拉绒片-B65-125MM,8H-20PCS-20250722-V1.pdf",涂附,B65,B65,125_8H,彩盒,20250722,V1,商超,DONE,,,,bbdcf9791010816376db50311fbd8a0629a6d925ec4f0b301aaa7cdd613d6b5c,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B65-125MM,8H-单混25PCS-20250722-V1.pdf","涂附-拉绒片-B65-125MM,8H-单混25PCS-20250722-V1.pdf","涂附-拉绒片-B65-125MM,8H-单混25PCS-20250722-V1.pdf",涂附,B65,B65,125_8H,彩盒,20250722,V1,商超,DONE,,,单混,327ab69430cbb3fbeb53913dfb891f1c73f310ceb7c8b92d94b2e7db51ed92e2,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B65-150MM,15H-10PCS-20250722-V1.pdf","涂附-拉绒片-B65-150MM,15H-10PCS-20250722-V1.pdf","涂附-拉绒片-B65-150MM,15H-10PCS-20250722-V1.pdf",涂附,B65,B65,150_15H,彩盒,20250722,V1,商超,DONE,,,混装,543a29ca0545272ac01d7826ac3625020874ae75e85c6f315376454c9cd5a548,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B65-150MM,6H-10PCS-20250722-V1.pdf","涂附-拉绒片-B65-150MM,6H-10PCS-20250722-V1.pdf","涂附-拉绒片-B65-150MM,6H-10PCS-20250722-V1.pdf",涂附,B65,B65,150_6H,彩盒,20250722,V1,商超,DONE,,,混装,44e42975d64f05d0f861f0eaa8d415520d5a96e3c91801260f172b7ba5d6581f,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B65-225MM,9H-10PCS-20250807-V1.pdf","涂附-拉绒片-B65-225MM,9H-10PCS-20250807-V1.pdf","涂附-拉绒片-B65-225MM,9H-10PCS-20250807-V1.pdf",涂附,B65,B65,225_9H,彩盒,20250807,V1,商超,DONE,,,,6f5b9b4b9b241901e0dc632c0758b5d52c4c4b42ea563e2172c22ab4590e1c63,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B65-225MM,9H-10PCS-20250722-V1.pdf","涂附-拉绒片-B65-225MM,9H-10PCS-20250722-V1.pdf","涂附-拉绒片-B65-225MM,9H-10PCS-20250722-V1.pdf",涂附,B65,B65,225_9H,彩盒,20250722,V1,商超,DONE,,,,8eab8bfdc6da3c0ff9cfd8ebc25b95efcbe648e745c3b875b0a73a1a24743eec,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-B65-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-B65-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-B65-225MM,9H-5PCS-20250722-V1.pdf",涂附,B65,B65,225_9H,彩盒,20250722,V1,商超,DONE,,,,ef5b8c0f64f11c58593b60f8c49f2aaab04b989bb363fcf46139be5acd6b97ea,,
/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-网格砂-BCG7-225MM-5PCS-20250820-V1.pdf,涂附-网格砂-BCG7-225MM-5PCS-20250820-V1.pdf,涂附-网格砂-BCG7-225MM-5PCS-20250820-V1.pdf,涂附,BCG7,BCG7,5PCS,彩盒,20250820,V1,商超,DONE,,,,014478ac0f9e8f45c19674b1a51c6211ef5180002c9ccdda0c0bdcfc2e55ffb5,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-A15-125MM,8H-20_25PCS-20250819-V1.pdf","涂附-拉绒片-A15-125MM,8H-20_25PCS-20250819-V1.pdf","涂附-拉绒片-A15-125MM,8H-20_25PCS-20250819-V1.pdf",涂附,A15,A15,125_8H,吸塑彩贴,20250819,V1,商超,DONE,,,,c91c0fc488ca698f7181b64938bd91cff90f396c33b5f2eebc45b81467f46439,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B15-125MM,0H-20_25PCS-20250819-V1.pdf","涂附-拉绒片-B15-125MM,0H-20_25PCS-20250819-V1.pdf","涂附-拉绒片-B15-125MM,0H-20_25PCS-20250819-V1.pdf",涂附,B15,B15,125_0H,吸塑彩贴,20250819,V1,商超,DONE,,,,da8c4274f0c8fae84257dd7b303383069a08cb0401f5c5131f6b8515370ced75,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/吸塑彩贴/涂附-拉绒片-B15-125MM,8H-20_25PCS-20250819-V1.pdf","涂附-拉绒片-B15-125MM,8H-20_25PCS-20250819-V1.pdf","涂附-拉绒片-B15-125MM,8H-20_25PCS-20250819-V1.pdf",涂附,B15,B15,125_8H,吸塑彩贴,20250819,V1,商超,DONE,,,,c6b93f8ac495a919ebcf00154a2efd850ad00ec2cad029d30289fa308e1e5260,,
